abn_key,Charity_Legal_Name,State,Town_City,Charity_Website,charity size,staff - volunteers,total full time equivalent staff,total revenue,net assets/liabilities,beneficiary_count,states_operating,years_operating,pillar_legitimacy,pillar_impact,pillar_capacity,pillar_cause,fit_score,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,LGBTIQA+,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,rank,is_top_10
33851520255,Great Southern Animal Protection Inc.,,,,Small,50,0.0,105963,5000,3,1,1.0,70.6,11.526922710378301,80.0,9.58904109589041,39.5,,Y,Y,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,15855,0
18982210626,Global Kids Charitable Trust Fund,TAS,Invermay,www.globalkids.org.au,Small,30,1.0,106665,0,7,0,15.0,36.13862576962359,13.218534578607933,96.64107485604606,28.767123287671232,39.5,Y,Y,Y,Y,,Y,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,15856,0
39136078731,The June Long Foundation,NSW,Double Bay,www.medicalerroraustralia.com,Small,4,4.0,2411,3431,1,0,24.0,84.4,1.450963340639788,86.56429942418426,2.73972602739726,39.5,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,Y,Y,,Y,Y,Y,,Y,,15857,0
69219779044,North Bondi RSL sub-Branch (RSL NSW),,,,Medium,0,0.0,604957,29490619,1,1,76.0,98.39796120644559,4.9523809523809526,62.0,4.10958904109589,39.5,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,15858,0
64133656149,Prince of Peace Lutheran College Foundation,QLD,Everton Park,www.princeofpeace.qld.edu.au,Small,7,0.0,37055,193150,0,0,12.0,77.2,0.6537691794529622,100.0,0.0,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,15859,0
52078202939,Ring Pull Association,QLD,Bouldercombe,,Small,10,0.0,5501,0,9,1,9.0,35.4,13.50538454207566,80.0,42.465753424657535,39.5,,Y,Y,Y,,Y,,Y,,Y,,,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,15860,0
61914897248,Everything Beagle WA Inc,WA,Success,facebook.com/everythingbeaglewainc,Small,30,0.0,31830,15921,0,1,,70.0,6.801867911941267,100.0,0.0,39.5,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,15861,0
16268900948,World Chinese Diabetes International Incorporated,NSW,Chippendale,,Small,20,0.0,101338,188619,4,1,,70.0,9.677435750817988,80.0,12.32876712328767,39.5,,,,,,,Y,,Y,,,,Y,,,,,,Y,,,,,,,,Y,Y,,,,,,,Y,,15862,0
50924575284,Evenglow Inc,QLD,Beecher,http://www.evenglow.com,Small,20,0.0,18236,21931,1,0,44.0,70.38459423921483,2.8202928936751306,100.0,4.10958904109589,39.5,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,15863,0
56416556541,Sarina & District Community Kindergarten Association Inc,QLD,Sarina,www.sarinakindy.com.au,Medium,10,2.0,370699,429290,5,1,33.0,64.9883862072927,10.32086073255185,75.28214971209212,20.54794520547945,39.5,Y,,,,,Y,,,Y,,,,Y,,,,,,Y,,,,,,,,Y,,,,,,,,,,15864,0
